stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
334,,Gornji Kokoti (B),,42.397799,19.167826,,,,,,
335,,Potkrš II (B),,42.544029,19.370463,,,,,,
338,,Studentska (A),,42.440231,19.236343,,,,,,
339,,Donji Kokoti (okretište),,42.39436,19.197317,,,,,,
340,,Uvač (B),,42.705419,19.516998,,,,,,
341,,Donji Vranići (B),,42.457223,19.233944,,,,,,
343,,Vlada Ćetkovića I (B),,42.450034,19.232904,,,,,,
344,,Đulje Jovanovića I (B),,42.448952,19.290561,,,,,,
345,,Bulevar Peka Dapčevića (B),,42.436329,19.275674,,,,,,
351,,Doljanska II (A),,42.452211,19.305111,,,,,,
352,,Donji Kokoti - teniski tereni (A),,42.410854,19.199216,,,,,,
355,,Limenka (B),,42.46395006,19.2838607,,,,,,
356,,Primorska (A),,42.46518474,19.28909052,,,,,,
357,,Martinićka (B),,42.46805765,19.2896055,,,,,,
364,,Donji Kokoti II (A),,42.402383,19.198407,,,,,,
366,,Vojvođanska - Dom zdravlja,,42.43500293,19.2212999,,,,,,
367,,Barutana (B),,42.395129,19.144693,,,,,,
368,,Farmaci (A),,42.415558,19.193938,,,,,,
369,,Bolje sestre (B),,42.591304,19.419883,,,,,,
370,,Orahovo II (A),,42.484731,19.442293,,,,,,
372,,Raskrsnica za Fundinu (A),,42.450588,19.340723,,,,,,
373,,Kruse,,42.43222313,19.1558218,,,,,,
375,,Miloja Pavlovića I (B),,42.442515,19.208917,,,,,,
376,,Andrije Lainovića (A),,42.453604,19.219077,,,,,,
377,,Bulevar Peka Dapčevića (A),,42.436246,19.275431,,,,,,
378,,Partizanski put I (B),,42.455381,19.207415,,,,,,
379,,Janka Đonovića II (A),,42.41736868,19.24414697,,,,,,
380,,Dušana Milutinovića (B),,42.41937389,19.24700748,,,,,,
382,,Ravni vjeternik - Duške (A),,42.619974,19.443188,,,,,,
383,,Pera Ćetkovića I (B),,42.432618,19.284215,,,,,,
384,,Mrke (A),,42.511222,19.336863,,,,,,
385,,Lješkopoljska I,,42.426612,19.221898,,,,,,
388,,Buronji,,42.42945548,19.10042882,,,,,,
389,,Pričelje (A),,42.504289,19.222681,,,,,,
390,,Pera Ćetkovića I (A),,42.432771,19.284194,,,,,,
391,,Studentska (B),,42.440263,19.236068,,,,,,
393,,Miloja Pavlovića I (A),,42.442575,19.208706,,,,,,
394,,Iveze Vukova (B),,42.44999574,19.29459935,,,,,,
395,,Holandske sestre (B),,42.4627391,19.28009976,,,,,,
396,,Dušana Milutinovića (A),,42.41915079,19.24692574,,,,,,
397,,Lješkopoljska III,,42.42794059,19.21558147,,,,,,
398,,Ubli I (A),,42.493172,19.388675,,,,,,
400,,Grbavci (okretište),,42.362549,19.189803,,,,,,
401,,Lijeva rijeka - škola (A),,42.645075,19.476684,,,,,,
404,,Orah (A),,42.583217,19.410009,,,,,,
